"Model";"Batterysize";"Range..avg...388.km.";"Consumption"
"Kia EV4 Hatchback 58.3 kWh";"55";340;162
"Kia EV4 Hatchback 81.4 kWh";"78";475;164
"Kia EV5 81.4 kWh";"78";400;195
"Kia EV5 81.4 kWh AWD";"78";385;203
"Kia EV6 GT";"80";395;203
"Kia EV6 Long Range 2WD";"80";455;176
"Kia EV6 Long Range AWD";"80";440;182
"Kia EV6 Standard Range 2WD";"60";345;174
"Kia EV9 76.1 kWh RWD";"73";350;209
"Kia EV9 99.8 kWh AWD";"96";435;221
"Kia EV9 99.8 kWh AWD GT";"96";420;229
"Kia EV9 99.8 kWh AWD GT-Line";"96";425;226
"Kia EV9 99.8 kWh RWD";"96";450;213
"Kia PV5 Passenger 51.5 kWh";"48";230;209
"Kia PV5 Passenger 71.2 kWh";"67";315;213
"Lancia Ypsilon 54 kWh";"50.8";325;156
"Lancia Ypsilon 54 kWh HF";"50.8";305;167
"Leapmotor B10 56.2 kWh";"55";305;180
"Leapmotor B10 67.1 kWh";"65";360;181
"Leapmotor C10 AWD 81.9 kWh";"81.9";380;216
"Leapmotor C10 RWD 69.9 kWh";"69.9";355;197
"Leapmotor C10 RWD 81.9 kWh";"81.9";410;200
"Leapmotor T03";"36";225;160
"Lexus ES 350e";"72";390;185
"Lexus ES 500e DIRECT 4";"70";375;187
"Lexus RZ 350e";"72";400;180
"Lexus RZ 500e";"72";395;182
"Lexus RZ 550e F SPORT";"72";390;185
"Lotus Eletre 600";"109";495;220
"Lotus Eletre 900";"109";455;240
"Lotus Emeya 600";"98.9";520;190
"Lotus Emeya 900";"98.9";465;213
"Lucid Air Grand Touring";"117";720;163
"Lucid Air Pure RWD";"88";580;152
"Lucid Air Sapphire";"118";610;193
"Lucid Air Touring";"96";600;160
"Lucid Gravity Grand Touring";"123";615;200
"Lucid Gravity Touring";"89";460;193
"Lynk&Co 02";"62";355;175
"Maserati GranCabrio Folgore";"83";395;210
"Maserati GranTurismo Folgore";"83";420;198
"Maserati Grecale Folgore";"98.6";450;219
"Maxus MIFA 9";"84";360;233
"Mazda 6e 68.8 kWh";"68";420;162
"Mazda 6e 78 kWh";"77";470;164
"Mazda 6e Long Range 80 kWh";"78";480;162
"Mercedes-Benz CLA 200";"58";400;145
"Mercedes-Benz CLA 250";"71";490;145
"Mercedes-Benz CLA 250+";"85";585;145
"Mercedes-Benz CLA 350 4MATIC";"85";575;148
"Mercedes-Benz CLA Shooting Brake 250+";"85";565;150
"Mercedes-Benz CLA Shooting Brake 350 4MATIC";"85";555;153
"Mercedes-Benz EQA 250";"66.5";395;168
"Mercedes-Benz EQA 250+";"70.5";420;168
"Mercedes-Benz EQA 300 4MATIC";"66.5";350;190
"Mercedes-Benz EQA 350 4MATIC";"66.5";350;190
"Mercedes-Benz EQE 300";"89";525;170
"Mercedes-Benz EQE 350 4MATIC";"90.6";515;176
"Mercedes-Benz EQE 350+";"96";555;173
"Mercedes-Benz EQE 500 4MATIC";"90.6";505;179
