Model;Range (avg = 388 km);
Audi Q6 SUV e-tron;395;
VinFast VF 8 Plus Extended Range;400;
Mercedes-Benz CLA 200;400;
KGM Torres EVX 80.6 kWh;400;
Toyota bZ4X Touring FWD 74.7 kWh;400;
Volvo EC40 Twin Motor;400;
Volvo EC40 Twin Motor Performance;400;
Volvo EX40 Single Motor ER;400;
NIO ET5 Touring Standard Range;400;
Mini Countryman E;400;
BMW iX1 eDrive20;400;
BYD ATTO 3 Evo AWD Excellence;400;
Genesis GV60 Performance;400;
Cadillac LYRIQ-V;400;
Lexus RZ 350e;400;
Kia EV5 81.4 kWh;400;
VinFast VF 8 Eco Extended Range;405;
Nissan Ariya e-4ORCE 87kWh - 225 kW;405;
Polestar 2 Standard Range Single Motor;405;
MG MGS6 EV RWD 77 kWh;405;
BMW iX2 eDrive20;405;
MG IM5 Standard Range;405;
BYD SEALION 7 82.5 kWh AWD Design;405;
Changan Deepal S07 Standard;410;
Leapmotor C10 RWD 81.9 kWh;410;
Zeekr 7GT Core RWD;410;
Genesis GV60 Sport;410;
XPENG G9 RWD Standard Range;410;
Audi Q4 Sportback e-tron 45 quattro;410;
Audi Q6 Sportback e-tron;410;
Ford Mustang Mach-E Rally;410;
DS Automobiles N°8 FWD;415;
Ford Mustang Mach-E Rally;415;
BYD ATTO 3 Evo RWD Design;415;
Audi Q4 Sportback e-tron 55 quattro;415;
Maserati GranTurismo Folgore;420;
Mazda 6e 68.8 kWh;420;
Volvo EC40 Single Motor ER;420;
Subaru Uncharted 77 kWh;420;
Hyundai IONIQ 6 63 kWh RWD;420;
Kia EV9 99.8 kWh AWD GT;420;
Mercedes-Benz EQA 250+;420;
Mercedes-Benz EQE SUV AMG 53 4MATIC+;420;
Audi Q4 e-tron 45;420;
TOGG T10X Long Range AWD;420;
BYD SEALION 7 82.5 kWh RWD Comfort;420;
BYD SEAL U 87 kWh Design;425;
BMW i5 M60 xDrive Touring;425;
XPENG P7+ AWD Performance;425;
MG Cyberster Trophy;425;
Genesis GV60 Pure;425;
CUPRA Tavascan VZ;425;
MG MG4 Electric 77 kWh;425;
Kia EV9 99.8 kWh AWD GT-Line;425;
XPENG G6 AWD Performance;425;
Ford Mustang Mach-E GT;425;
Volvo EX90 Single Motor;425;
BMW i5 M60 xDrive Sedan;430;
Toyota C-HR+ 77 kWh;430;
Ford Explorer Extended Range AWD;430;
GWM ORA 07 GT;430;
Kia EV9 99.8 kWh AWD;435;
Ford Mustang Mach-E ER AWD;435;
Ford Mustang Mach-E GT;435;
NIO EL6 Long Range;435;
BMW i4 eDrive35;435;
MG MG4 Premium Extended Range;435;
Volkswagen ID.4 Pro 4MOTION;435;
Volkswagen ID.4 GTX;435;
Hongqi E-HS7 111 kWh AWD Pro;435;
XPENG G6 RWD Long Range;435;
Mercedes-Benz EQE SUV 350 4MATIC;435;
Audi Q4 Sportback e-tron 45;435;
TOGG T10X Long Range RWD;435;
BYD SEALION 7 91.3 kWh AWD Excellence;440;
Porsche Taycan 4S Sport Turismo;440;
Hyundai IONIQ 6 N;440;
NIO EL8 Long Range;440;
MG IM6 Performance;440;
Hyundai IONIQ 6 Long Range AWD;440;
Kia EV6 Long Range AWD;440;
Polestar 3 Rear Motor;440;
Škoda Elroq 85x;445;
Tesla Model 3 RWD;445;
XPENG P7+ RWD Long Range;445;
Ford Capri Extended Range AWD;445;
Volkswagen ID.4 Pro;445;
CUPRA Tavascan Endurance;445;
